ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,319,KM.TXT,0.44444,0.15789,0.23301,1
,,,,,,
ROUGE-L+StopWordRemoval,440,KM.TXT,0.27778,0.09709,0.14388,1
,,,,,,
ROUGE-1+StopWordRemoval,440,KM.TXT,0.54054,0.15038,0.23529,1
,,,,,,
ROUGE-2+StopWordRemoval,440,KM.TXT,0.2,0.05303,0.08383,1
,,,,,,
ROUGE-L+StopWordRemoval,320,KM.TXT,0.94444,0.4,0.56198,1
,,,,,,
ROUGE-1+StopWordRemoval,320,KM.TXT,0.95652,0.37607,0.53988,1
,,,,,,
ROUGE-2+StopWordRemoval,320,KM.TXT,0.95455,0.36207,0.525,1
,,,,,,
ROUGE-L+StopWordRemoval,441,KM.TXT,0.28947,0.12644,0.176,1
,,,,,,
ROUGE-1+StopWordRemoval,441,KM.TXT,0.34615,0.14516,0.20455,1
,,,,,,
ROUGE-2+StopWordRemoval,441,KM.TXT,0.18,0.07317,0.10405,1
,,,,,,
ROUGE-L+StopWordRemoval,200,KM.TXT,0.21951,0.13636,0.16822,1
,,,,,,
ROUGE-1+StopWordRemoval,200,KM.TXT,0.34884,0.19481,0.25,1
,,,,,,
ROUGE-2+StopWordRemoval,200,KM.TXT,0.07317,0.03947,0.05128,1
,,,,,,
ROUGE-L+StopWordRemoval,321,KM.TXT,0.30233,0.16049,0.20968,1
,,,,,,
ROUGE-1+StopWordRemoval,321,KM.TXT,0.48837,0.175,0.25767,1
,,,,,,
ROUGE-2+StopWordRemoval,321,KM.TXT,0.21951,0.07563,0.1125,1
,,,,,,
ROUGE-L+StopWordRemoval,442,KM.TXT,0.23077,0.0625,0.09836,1
,,,,,,
ROUGE-1+StopWordRemoval,442,KM.TXT,0.33333,0.07556,0.12319,1
,,,,,,
ROUGE-2+StopWordRemoval,442,KM.TXT,0.12245,0.02679,0.04396,1
,,,,,,
ROUGE-L+StopWordRemoval,201,KM.TXT,0.22581,0.08434,0.12281,1
,,,,,,
ROUGE-1+StopWordRemoval,201,KM.TXT,0.26471,0.08911,0.13333,1
,,,,,,
ROUGE-2+StopWordRemoval,201,KM.TXT,0.125,0.04,0.06061,1
,,,,,,
ROUGE-L+StopWordRemoval,322,KM.TXT,0.375,0.11538,0.17647,1
,,,,,,
ROUGE-1+StopWordRemoval,322,KM.TXT,0.41667,0.11364,0.17857,1
,,,,,,
ROUGE-2+StopWordRemoval,322,KM.TXT,0.22727,0.05747,0.09174,1
,,,,,,
ROUGE-L+StopWordRemoval,443,KM.TXT,0.33333,0.13084,0.18792,1
,,,,,,
ROUGE-1+StopWordRemoval,443,KM.TXT,0.46939,0.15541,0.2335,1
,,,,,,
ROUGE-2+StopWordRemoval,443,KM.TXT,0.17021,0.05442,0.08247,1
,,,,,,
ROUGE-L+StopWordRemoval,202,KM.TXT,0.2069,0.03922,0.06593,1
,,,,,,
ROUGE-1+StopWordRemoval,202,KM.TXT,0.3,0.05797,0.09717,1
,,,,,,
